ID;BENEFICIAIRE;MONTANT;ID_DEPUTE;NOM_DEPUTE;GROUPE;DEP;
8166;Grange Saint-Bernard;2000;267178;DHUICQ Nicolas;UMP;Aube;
8167;Grasse Pétanque;1000;267794;TABAROT Michèle;UMP;Alpes-Maritimes;
8168;Green lotus - CREDDA;10000;605518;LAMBERT François-Michel;ECOLO;Bouches-du-Rhône;
8169;GREF - Groupement des Retraités Educateurs sans Frontière;1000;606924;HUILLIER Joëlle;SRC;Isère;
8170;GREF : Groupement des Retraites Educateurs Sans Frontières ;7500;607310;BELOT Luc;SRC;Maine-et-Loire;
8171;Greffés du cœur;1000;;
8172;Grendelbruch en Fêtes;1000;266774;FURST Laurent;UMP;Bas-Rhin;
8173;Grenelle-Félix Faure;1500;230329;LAMOUR Jean-François;UMP;Paris;
8174;Grenoble Tennis;28000;1116;DESTOT Michel;SRC;Isère;
8175;Grésivaudan Sud ECOLOgie;1100;606910;BONNETON Michèle;ECOLO;Isère;
8176;Gressy d'Hier et d'Aujourd'hui;1000;243;ALBARELLO Yves;UMP;Seine-et-Marne;
8177;Grisélidis;8000;331753;LEMORTON Catherine;SRC;Haute-Garonne;
8178;Groupe amical des donneurs de sang bénévoles du Havre et de l'arrondissement;2300;609205;TROALLIC Catherine;SRC;Seine-Maritime;
8179;Groupe Amical des Ex-Vierz'Art;4000;605745;SANSU Nicolas;GDR;Cher;
8180;Groupe d'appui et de Solidarité;5000;609520;POMPILI Barbara;ECOLO;Somme;
8181;Groupe de recherche Picardie 1939-1945;1000;267743;COURTIAL Edouard;UMP;Oise;
8182;Groupe des Bruyères Beuzec Cap Zizun;1000;331658;LE LOCH Annick;SRC;Finistère;
8183;Groupe folklorique "Les Lys";1000;266774;FURST Laurent;UMP;Bas-Rhin;
8184;Groupe Pascal;3000;267762;DECOOL Jean-Pierre;UMP;Nord;
8185;Groupe Scolaire "Le Terroir";3500;610594;LEFEBVRE Dominique;SRC;Val-d'Oise;
8186;Groupe scolaire Jean de la Fontaine;1000;267728;PRIOU Christophe;UMP;Loire-Atlantique;
8187;Groupe St Eloi d'Auriol;3000;605518;LAMBERT François-Michel;ECOLO;Bouches-du-Rhône;
8188;Groupe théâtral Mentonnais ;2000;1574;GUIBAL Jean-Claude;UMP;Alpes-Maritimes;
8189;Groupe vocal "Avec ton Coeur";1000;1001;DAUBRESSE Marc-Philippe;UMP;Nord;
8190;Groupement bouliste Pharo Catalans;1500;2815;TIAN Dominique;UMP;Bouches-du-Rhône;
8195;Groupement d'employeurs des MJC-CS;10000;610002;SAS Eva;ECOLO;Essonne;
8191;Groupement de coopération sociale et médico sociale;3100;267241;DEMILLY Stéphane ;UDI;Somme;
8192;Groupement de Défense Sanitaire des Abeilles;1000;608778;SANTAIS Béatrice;SRC;Savoie;
8193;Groupement de développement forestier des Deux-Sèvres;1000;345994;DRAPEAU Jean-Luc;SRC;Deux-Sèvres;
8194;Groupement de Parkinsoniens des Ardennes;1000;267260;POLETTI Bérengère;UMP;Ardennes;
8196;Groupement Gymnique Havre et Banlieue;7000;609205;TROALLIC Catherine;SRC;Seine-Maritime;
8197;Groupement Philatélique Dolois;1000;267204;SERMIER Jean-Marie;UMP;Jura;
8198;GRS Muroise;1500;334906;MEUNIER Philippe;UMP;Rhône;
8199;GSPV 09;1000;266774;FURST Laurent;UMP;Bas-Rhin;
8200;GUELMA;1500;1630;HERBILLON Michel;UMP;Val-de-Marne;
8201;Guérande Basket Ball;1000;267728;PRIOU Christophe;UMP;Loire-Atlantique;
8202;Guerre en Vosges;1000;856;CHERPION Gérard;UMP;Vosges;
8204;Guides et scouts d'Europe;1500;2815;TIAN Dominique;UMP;Bouches-du-Rhône;
8203;Guides et scouts de France;1000;1459;GERARD Bernard;UMP;Nord;
8205;Guillaume Val;3000;259;AMELINE Nicole;UMP;Calvados;
8206;Guitares en scène;7000;608826;DUBY-MULLER Virginie;UMP;Haute-Savoie;
8207;Guitares en Vignes;1500;267075;BLANC Étienne;UMP;Ain;
8208;Gym Club Avelinois;1000;1857;LAZARO Thierry;UMP;Nord;
8209;Gym club ruthénois;4000;267266;CENSI Yves;UMP;Aveyron;
8210;Gym Form Detente;1000;267628;KOSCIUSKO-MORIZET Nathalie;UMP;Essonne;
8211;Gym Mulhouse;1000;267227;GROSSKOST Arlette;UMP;Haut-Rhin;
8212;Gym Paris 15;2000;230329;LAMOUR Jean-François;UMP;Paris;
8213;Gym Passion;1500;267728;PRIOU Christophe;UMP;Loire-Atlantique;
8214;Gymnastique artistique et sportive;3000;267605;PECRESSE Valérie;UMP;Yvelines;
8215;Gymnastique et de Loisirs de Laigneville;1500;267743;COURTIAL Edouard;UMP;Oise;
8216;Gymnastique Rhodanienne;500;267429;CINIERI Dino;UMP;Loire;
8217;Gymnastique Rhodanienne;1000;267591;FENECH Georges;UMP;Rhône;
8218;Gymnastique Rythmique Canet 66;1000;344492;SIRE Fernand;UMP;Pyrénées-Orientales;
8219;Gymnastique volontaire "La Lambersartoise";1000;1001;DAUBRESSE Marc-Philippe;UMP;Nord;
8220;Gymnastique volontaire des Conches;1000;267785;LARRIVE Guillaume;UMP;Yonne;
8221;Gymnastique Volontaire des Gorges;1000;267512;MARC Alain;UMP;Aveyron;
8222;Gymnastique volontaire St Nizier de Fornas;500;267429;CINIERI Dino;UMP;Loire;
8223;Habicoop;3000;334755;MUET Pierre-Alain;SRC;Rhône;
8224;Habitat et Humanisme;10000;607595;PELLOIS Hervé;SRC;Morbihan;
8225;Habitat et Humanisme 06;3000;1263;ESTROSI Christian;UMP;Alpes-Maritimes;
8226;Hachomer Hatzair;25000;267954;HOFFMAN-RISPAL Danièle;SRC;Paris;
8227;HALLOY;1484;2048;MANCEL Jean-François;UMP;Oise;
8228;Halte Garderie Le Petit Jardin;3000;2815;TIAN Dominique;UMP;Bouches-du-Rhône;
8229;Haltérophilie club de Villefranche;1000;2377;PERRUT Bernard;UMP;Rhône;
8230;HANDBALL ;8000;331442;REYNIER  Franck  ;UDI;Drôme;
8231;HANDBALL ;2000;331442;REYNIER Franck ;UDI;Drôme;
8232;Handball Club Orange;23000;563;BOMPARD Jacques;NI;Vaucluse;
8233;Handball Islois;2500;336316;BOUCHET Jean-Claude;UMP;Vaucluse;
8234;Handball Pays de St Marcellin;4000;606910;BONNETON Michèle;ECOLO;Isère;
8235;Handball Plan de Cuques;5000;605518;LAMBERT François-Michel;ECOLO;Bouches-du-Rhône;
8236;Handi Animation;1000;344492;SIRE Fernand;UMP;Pyrénées-Orientales;
8237;Handi Cap évasion;3000;2693;SAUVAN Gilbert;SRC;Alpes-de-Haute-Provence;
8238;Handi Raid Sapeurs Pompiers;1000;605036;ABAD Damien;UMP;Ain;
8239;HANDI SPORT 83;2000;267378;LEVY Geneviève;UMP;Var;
8240;Handicap et citoyenneté;1000;1031;DEGAUCHY Lucien;UMP;Oise;
8241;Handicap international;5000;334768;TOURAINE Jean-Louis;SRC;Rhône;
8242;Handicap Services;1000;1031;DEGAUCHY Lucien;UMP;Oise;
8243;Handisport Organisation Tennis;1000;216574;HILLMEYER Francis ;UDI;Haut-Rhin;
8244;Handservice;2750;336316;BOUCHET Jean-Claude;UMP;Vaucluse;
8245;Happy Arts;500;267429;CINIERI Dino;UMP;Loire;
8246;Harmonie Bussang/Saint Maurice;2000;2876;VANNSON François;UMP;Vosges;
8247;Harmonie Caecilia;2500;2707;SCHNEIDER André;UMP;Bas-Rhin;
8248;Harmonie Chablaisienne;2000;267532;FRANCINA Marc;UMP;Haute-Savoie;
8249;Harmonie Charles Dhenin;1000;607846;DARMANIN Gérald;UMP;Nord;
8250;Harmonie de Béthisy saint Pierre;1000;1031;DEGAUCHY Lucien;UMP;Oise;
8251;Harmonie de Côte-Chaude;2000;332614;JUANICO Régis;SRC;Loire;
8252;Harmonie de Grandcamp;2000;267233;BOUILLON Christophe;SRC;Seine-Maritime;
8253;Harmonie de la Vallée de l'Oise et des Trois Forêts;1000;267886;PONIATOWSKI Axel;UMP;Val-d'Oise;
8254;Harmonie de Terminiers "Les enfants de la Beauce";1500;331582;VIGIER Philippe ;UDI;Eure-et-Loir;
8255;Harmonie des Enfants de l'Ozon;1000;267591;FENECH Georges;UMP;Rhône;
8256;Harmonie Echo des 2 Vallées;1500;608851;DION Sophie;UMP;Haute-Savoie;
8257;Harmonie municipale;2000;607846;DARMANIN Gérald;UMP;Nord;
8258;Harmonie municipale de Provins;4000;1695;JACOB Christian;UMP;Seine-et-Marne;
8259;Harmonie municipale de Reignier ;1000;267527;SADDIER Martial;UMP;Haute-Savoie;
8260;Harmonie municipale de St Pierre ;1000;267527;SADDIER Martial;UMP;Haute-Savoie;
8262;Harmonie Municipale Saint Saulve;1000;588;BORLOO Jean-Louis  ;UDI;Nord;
8261;Harmonie Municipale- Ecole de Musique de Montreuil sur Mer;1000;334149;FASQUELLE Daniel;UMP;Pas-de-Calais;
8263;Harmonie Vénusta;1000;267591;FENECH Georges;UMP;Rhône;
8264;HAUCOURT;1000;2048;MANCEL Jean-François;UMP;Oise;
8265;HAUDIVILLERS;8500;998;DASSAULT Olivier;UMP;Oise;
8266;HAUTE-EPINE;3500;998;DASSAULT Olivier;UMP;Oise;
8267;Hautes Vosges Animations;20000;2876;VANNSON François;UMP;Vosges;
8268;Hauteville 3 S ;1500;605036;ABAD Damien;UMP;Ain;
8269;HBC Celles/Belle;1000;345994;DRAPEAU Jean-Luc;SRC;Deux-Sèvres;
8270;HBO;5000;345619;PHILIPPE Edouard;UMP;Seine-Maritime;
8271;Heart Color Music;15000;271;ANDRIEUX Sylvie;SRC;Bouches-du-Rhône;
8272;Heitini no Arue;5834;1373;FRITCH Edouard ;UDI;Polynésie Française;
8273;HENCHOU GWECHALL;5000;606161;GUITTET Chantal;SRC;Finistère;
8274;Hera Deu Hromatge ;2000;1838;LASSALLE Jean;NI;Pyrénées-Atlantiques;
8275;Héraldique et Sigillographie d'Alsace;1000;608416;HETZEL Patrick;UMP;Bas-Rhin;
8276;Hêtre et Lavoir;1000;2048;MANCEL Jean-François;UMP;Oise;
8278;Histoire d'Orgeval;1500;422119;DOUILLET David;UMP;Yvelines;
8277;Histoire de Fils en Fleurs ;1000;266797;GOSSELIN Philippe;UMP;Manche;
8279;HISTOIRE ET MALICE;3000;;
8280;Histoire(s) du Pays de Jaurès;30000;;
8281;Hockey Sporting Club;10000;337633;GIRARDIN Annick;RRDP;Saint-Pierre-et-Miquelon;
8282;HODENC-L’EVEQUE;2500;2048;MANCEL Jean-François;UMP;Oise;
8283;Hoenheim AC - Lutte Olympique;3000;2707;SCHNEIDER André;UMP;Bas-Rhin;
8284;HOMMES;10000;667;BRIAND Philippe;UMP;Indre-et-Loire;
